rank,score,grade,address,ask,day1_p80,true_cost,usable_sqft,all_in_psf,monthly_carry,wishlist_p80,total_spend,resale_after_reno,resale_lo,resale_hi,recovered_pct,sunk,breakeven,peer_norm,second_bath_op,verdict,notes,year_used,year_src,bg_sqft_est,tells_seen_of_15,photos_total,stage2_date,evidence,evidence_notes,cash_to_close_20pct,renovations_needed,reno_if_all_done,c_space,c_layout,c_baths,c_parking,c_lot,c_location,c_condition,c_price,work_expected,work_full,cost_hold,cost_hold_per_year,c_condition_low,c_condition_high,weights_provisional,rank_alex,rank_partner,score_alex,score_partner,band_lo,band_hi,disagree,quality,cost_pen,cost_pts,pay_mo,pay_pi,pay_tax,pay_upkeep,dial,project,hold_flags,seen_evidence,split_docked,fit_score,space,layout,baths,lot,location,parking,condition,condition_why,own_mo,own_day1_sunk,own_capital,own_taxes,own_reserve,own_closing,hold_years,overpay_total,overpay_mo,dominated_by,rank_3,rank_10,score_3,score_10
30,47.7,B-,"1177 GRAND Boulevard, Oakville, ON L6H 2V2",1299900,37430,1337330,1715,780,608,147929,185359,1354850,1354850,1354850,45,102355,1485259,1354850,"spend $16,950 -> +$16,950..$21,188",SEE,-,1976,mls,-,9,31,,medium,no basement frame,319383,kitchen $73k; main bath $26k; driveway $12k; powder $19k (unseen),130000,64.3,90.0,35.0,100.0,85.5,73.0,26.1,78.0,144813,195827,397433,79487,15.6,29.0,yes,30,-,47.7,-,30,33,-,51.6,22.0,3.9,6220,5612,461,147,17.95,-,-,-,-,58.7,16.1,18.0,7,12.8,8.8,8,-12.0,kitchen original -8; main bath original -4,6849,13529,338960,27655,8845,21973,5,59344,989,bur-1453-mountain-grove,30,31,56.3,54.1
31,47.6,B-,"1453 Mountain Grove Avenue, Burlington, ON L7P 2H4",1079000,31597,1110597,1394,796,586,111846,143443,1004040,1004040,1004040,26,106254,1222443,1004040,-,SEE,-,1958,mls,est,12,49,2026-09-12,high,basement area estimated,264952,basement $52k; bath 2 $22k (unseen); panel $5k (unseen),79000,12.0,54.8,65.0,62.5,100.0,80.1,52.7,100.0,104489,220896,334211,66842,47.0,55.4,yes,31,-,47.6,-,29,31,-,47.6,0.0,0.0,5244,4658,439,147,17.95,-,-,-,-,56.6,3.0,11.0,13,15,9.6,5,-0.0,-,5860,17408,281464,26346,8845,17555,5,0,0,-,31,30,56.1,54.2
32,45.7,C+,"2221 Wyandotte Drive, Oakville, ON L6L 2T4",1299999,31120,1331119,1542,864,667,59553,90673,1217785,1217785,1217785,29,64758,1390672,1217785,-,SEE,-,1972,mls,est,12,21,,medium,only 21 photos; basement area estimated,313095,bath 2 $22k (unseen),22000,20.0,64.8,65.0,62.5,57.0,78.9,63.2,72.1,80797,219388,418984,83797,59.8,66.5,yes,32,-,45.7,-,31,33,-,50.7,27.9,5.0,6279,5612,455,212,17.95,-,-,-,yes,51.3,5.0,13.0,13,8.5,9.5,5,-0.0,-,7201,13062,337724,27275,32010,21975,5,118277,1971,bur-2120-cavendish,33,32,53.9,52.1
33,45.4,C-,"3202 Centennial Drive E, Burlington, ON L7M 1C2",1059900,33411,1093311,1604,682,826,88087,121498,1124753,1108868,1140638,53,56645,1181398,1154520,-,SEE,"POOL — in-ground, annual carry priced in the reserve",1968,est,est,14,42,2026-09-12,medium,build year estimated; basement area estimated,262564,main bath $26k; driveway $12k; bath 2 $22k (unseen); panel $5k (unseen),65000,20.0,44.8,65.0,75.0,37.6,71.5,58.4,100.0,102878,247149,343636,68727,52.9,61.0,yes,33,-,45.4,-,32,36,-,45.4,0.0,0.0,5401,4576,380,446,17.95,-,POOL,-,yes,40.8,5.0,9.0,13,5.6,8.6,6,-4.0,main bath original -4,6027,17965,276957,22770,26737,17173,5,48937,816,bur-522-enfield,32,34,54.0,50.6
34,44.6,C+,"2120 Cavendish Drive, Burlington, ON L7P 1Z3",969900,29271,999171,1604,623,545,125003,154274,1060320,1041595,1079045,59,63854,1124174,1154520,-,SEE,-,1972,est,mls,11,45,2026-09-12,medium,build year estimated,238624,basement $65k; bath 2 $22k (unseen),87000,20.0,44.8,65.0,50.0,96.1,66.7,46.4,100.0,115768,216089,301307,60261,42.0,49.0,yes,34,-,44.6,-,33,35,-,44.6,0.0,0.0,4733,4187,398,147,17.95,-,-,-,-,53.4,5.0,9.0,13,14.4,8.0,4,-0.0,-,5229,12462,253179,23910,8845,15373,5,0,0,-,34,33,53.6,51.6
35,43.7,C+,"2379 Duncaster Drive, Burlington, ON L7P 3V9",1169000,38036,1207036,1688,715,626,159918,197954,1215360,1215360,1215360,36,125922,1366954,1215360,-,SEE,-,1978,mls,mls,10,34,2026-09-15,medium,,291191,main bath $26k; driveway $12k; ceilings $6k; bath 2 $22k (unseen); bath 3 $22k (unseen); flooring $17k; powder $10k (unseen),115000,12.0,54.8,100.0,75.0,60.0,65.0,46.3,100.0,140114,260863,362627,72525,44.4,50.6,yes,35,-,43.7,-,33,36,-,43.7,0.0,0.0,5673,5047,479,147,17.95,-,-,-,yes,49.9,3.0,11.0,20,9.0,7.8,6,-4.0,main bath original -4,6277,14008,305702,28725,8845,19355,5,62866,1048,bur-2120-cavendish,35,35,52.0,50.4
36,43.3,B-,"568 Weir Avenue, Oakville, ON L6L 4X4",1299999,45489,1345488,1387,970,563,106916,152405,1095730,1095730,1095730,25,114447,1452404,1095730,-,SEE,TENANTED,1957,mls,mls,14,22,2026-09-12,high,only 22 photos,327464,basement $54k; bath 2 $22k; asbestos $11k (unseen); panel $5k (unseen),92000,8.0,64.8,65.0,75.0,100.0,64.4,50.9,82.4,114440,233141,396398,79280,44.5,56.0,yes,36,-,43.3,-,35,36,-,46.4,17.6,3.2,6176,5612,416,147,17.95,-,TENANTED,-,-,54.7,2.0,13.0,13,15,7.7,6,-2.0,2nd bath original -2,7017,24613,340598,24980,8845,21975,5,107242,1787,bur-2120-cavendish,36,36,52.4,50.6
37,38.2,C-,"2501 Yarmouth Crescent, Oakville, ON L6L 2M9",1298000,37527,1335527,1594,838,605,149068,186595,1258865,1258865,1258865,31,129285,1484595,1258865,-,SEE,-,1972,mls,mls,13,50,,high,,319062,kitchen $73k; main bath $26k; bath 2 $22k (unseen),121000,12.0,44.8,65.0,100.0,78.6,75.9,42.8,79.2,148864,260417,396735,79347,38.2,47.1,yes,37,-,38.2,-,37,37,-,41.9,20.8,3.7,6208,5604,458,147,17.95,-,-,-,-,41.9,3.0,9.0,13,11.8,9.1,8,-12.0,kitchen original -8; main bath original -4,6923,18627,338495,27460,8845,21935,5,102698,1712,bur-522-enfield,37,37,48.1,46.4
38,33.4,C,"522 Enfield Road, Burlington, ON L7T 2X8",825000,84179,909179,1522,598,565,173784,257963,987064,955509,1018620,63,95899,1082963,1095480,-,SEE,OIL TANK — buried? uncapped liability | day-1 cash 10% of list,1954,mls,est,13,27,,high,basement area estimated,261654,kitchen $73k; basement $33k; main bath $26k; oil→gas $20k; tank removal $8k; bath 2 $22k (unseen); flooring $19k; asbestos $11k (unseen); panel $5k (unseen),217000,4.0,54.8,65.0,100.0,100.0,52.4,25.0,100.0,210670,280983,273561,54712,19.1,30.7,yes,38,-,33.4,-,38,38,-,33.4,0.0,0.0,4127,3562,451,114,17.95,yes,OIL,-,-,42.2,1.0,11.0,13,15,6.3,8,-12.0,kitchen original -8; main bath original -4,5211,39104,227211,27055,6820,12475,5,0,0,-,38,38,43.9,42.7
-,-,C+,"5322 Windermere Drive, Burlington, ON L7L 3M1",999900,54398,1054298,1270,830,601,59713,114111,914076,914076,914076,23,87301,1114011,914076,-,STOP,basement moisture confirmed,1963,mls,mls,12,48,,high,,270351,waterproofing $20k; main bath $26k; bath 2 $22k (unseen); panel $5k (unseen),73000,20.0,44.8,65.0,62.5,100.0,78.3,60.5,100.0,79989,202407,317932,63586,54.7,65.7,yes,-,-,-,-,-,-,-,-,0.0,-,4918,4317,454,147,17.95,-,-,-,yes,53.5,5.0,9.0,13,15,9.4,5,-0.0,-,5818,31142,265854,27260,8845,15973,5,0,0,-,-,-,-,-
